2019-10-16 20:42:45.9338 TotalError: 0, Region: Folkestone and Hythe, London: False, Error: 0, Next: 0.9251141159999999, Change: 0
2019-10-16 20:42:45.9338 TotalError: 0, Region: Forest Heath, London: False, Error: 0, Next: 11.594796266666668, Change: 0
2019-10-16 20:42:45.9338 TotalError: 0, Region: Forest of Dean, London: False, Error: 0, Next: 12.570894954333335, Change: 0
2019-10-16 20:42:45.9338 TotalError: 0, Region: Fylde, London: False, Error: 0, Next: 1.3827219389999998, Change: 0
2019-10-16 20:42:45.9524 TotalError: 0, Region: Gateshead, London: False, Error: 0, Next: 5.615158224666668, Change: 0
2019-10-16 20:42:45.9524 TotalError: 0, Region: Gedling, London: False, Error: 0, Next: 6.615639394333333, Change: 0
2019-10-16 20:42:45.9524 TotalError: 0, Region: Gloucester, London: False, Error: 0, Next: 4.0071675493333325, Change: 0
2019-10-16 20:42:45.9692 TotalError: 0, Region: Gloucestershire, London: False, Error: 0, Next: 7.586285440333334, Change: 0
2019-10-16 20:42:45.9692 TotalError: 0, Region: Gosport, London: False, Error: 0, Next: 5.128259795333333, Change: 0
2019-10-16 20:42:45.9806 TotalError: 0, Region: Gravesham, London: False, Error: 0, Next: 3.510050386333333, Change: 0
2019-10-16 20:42:45.9806 TotalError: 0, Region: Great Britain, London: False, Error: 0, Next: 5.005096078, Change: 0
2019-10-16 20:42:45.9806 TotalError: 0, Region: Great Yarmouth, London: False, Error: 0, Next: 7.533580784000001, Change: 0
2019-10-16 20:42:45.9961 TotalError: 0, Region: Greater Manchester, London: False, Error: 0, Next: 7.7544272036666655, Change: 0
2019-10-16 20:42:45.9961 TotalError: 0, Region: Greenwich, London: True, Error: 0, Next: 4.184612087666666, Change: 0
2019-10-16 20:42:45.9961 TotalError: 0, Region: Guildford, London: False, Error: 0, Next: 3.920138064333333, Change: 0
2019-10-16 20:42:45.9961 TotalError: 0, Region: Gwynedd, London: False, Error: 0, Next: 10.434336976666666, Change: 0
2019-10-16 20:42:46.0157 TotalError: 0, Region: Hackney, London: True, Error: 0, Next: 13.91659928, Change: 0
2019-10-16 20:42:46.0157 TotalError: 0, Region: Halton, London: False, Error: 0, Next: 11.923068901, Change: 0
2019-10-16 20:42:46.0157 TotalError: 0, Region: Hambleton, London: False, Error: 0, Next: 7.600239711, Change: 0
