2019-11-04 13:12:49.4382 TotalError: 0.394, AverageError: 0.003, Region: Epping Forest, London: False, Error: 0.002, Next: 0.002, Change: -1
2019-11-04 13:12:50.0397 TotalError: 0.398, AverageError: 0.003, Region: Hart, London: False, Error: 0.003, Next: -0.009, Change: -1
2019-11-04 13:12:50.0440 TotalError: 0.401, AverageError: 0.003, Region: Halton, London: False, Error: 0.003, Next: -0.185, Change: -1
2019-11-04 13:12:51.4236 TotalError: 0.403, AverageError: 0.003, Region: Gateshead, London: False, Error: 0.003, Next: -0.186, Change: -1
2019-11-04 13:12:53.0494 TotalError: 0.406, AverageError: 0.003, Region: Darlington, London: False, Error: 0.002, Next: -0.141, Change: -1
2019-11-04 13:12:54.5786 TotalError: 0.408, AverageError: 0.003, Region: Greenwich, London: True, Error: 0.003, Next: 0.038, Change: -1
2019-11-04 13:12:55.0514 TotalError: 0.41, AverageError: 0.003, Region: Gosport, London: False, Error: 0.002, Next: -0.068, Change: -1
2019-11-04 13:12:55.1341 TotalError: 0.413, AverageError: 0.003, Region: Horsham, London: False, Error: 0.003, Next: -0.012, Change: -1
2019-11-04 13:13:13.6310 TotalError: 0.415, AverageError: 0.003, Region: Epsom and Ewell, London: False, Error: 0.002, Next: 0.051, Change: -1
2019-11-04 13:13:16.6304 TotalError: 0.42, AverageError: 0.003, Region: Isle of Anglesey, London: False, Error: 0.005, Next: -0.103, Change: -1
2019-11-04 13:13:17.1689 TotalError: 0.423, AverageError: 0.003, Region: Fareham, London: False, Error: 0.003, Next: -0.056, Change: -1
2019-11-04 13:13:17.2378 TotalError: 0.425, AverageError: 0.003, Region: Flintshire, London: False, Error: 0.002, Next: -0.143, Change: -1
2019-11-04 13:13:17.7799 TotalError: 0.427, AverageError: 0.003, Region: Kent, London: False, Error: 0.003, Next: -0.087, Change: -1
2019-11-04 13:13:19.0022 TotalError: 0.429, AverageError: 0.003, Region: Inner London, London: False, Error: 0.001, Next: 0.375, Change: -1
2019-11-04 13:13:19.5213 TotalError: 0.432, AverageError: 0.003, Region: Hambleton, London: False, Error: 0.003, Next: -0.09, Change: -1
2019-11-04 13:13:19.6889 TotalError: 0.433, AverageError: 0.003, Region: Gedling, London: False, Error: 0.002, Next: -0.014, Change: -1
2019-11-04 13:13:20.7787 TotalError: 0.436, AverageError: 0.003, Region: King's Lynn and West Norfolk , London: False, Error: 0.003, Next: -0.114, Change: -1
2019-11-04 13:13:21.2689 TotalError: 0.438, AverageError: 0.003, Region: Guildford, London: False, Error: 0.002, Next: -0.004, Change: -1
2019-11-04 13:13:23.3939 TotalError: 0.44, AverageError: 0.003, Region: Hartlepool, London: False, Error: 0.002, Next: -0.247, Change: -1
2019-11-04 13:13:42.4985 TotalError: 0.441, AverageError: 0.003, Region: Kirklees, London: False, Error: 0.001, Next: -0.175, Change: -1
2019-11-04 13:13:42.7574 TotalError: 0.443, AverageError: 0.003, Region: Lancaster, London: False, Error: 0.002, Next: -0.176, Change: -1
2019-11-04 13:13:43.1828 TotalError: 0.444, AverageError: 0.003, Region: Isle of Wight, London: False, Error: 0.001, Next: -0.128, Change: -1
2019-11-04 13:13:43.7537 TotalError: 0.446, AverageError: 0.003, Region: Folkestone and Hythe, London: False, Error: 0.002, Next: -0.126, Change: -1
2019-11-04 13:13:47.5032 TotalError: 0.448, AverageError: 0.003, Region: Hampshire, London: False, Error: 0.002, Next: -0.07, Change: -1
2019-11-04 13:13:47.6715 TotalError: 0.449, AverageError: 0.003, Region: Hertfordshire, London: False, Error: 0.001, Next: -0.006, Change: -1
2019-11-04 13:13:47.9509 TotalError: 0.451, AverageError: 0.003, Region: Lincolnshire, London: False, Error: 0.002, Next: -0.12, Change: -1
2019-11-04 13:13:48.0733 TotalError: 0.455, AverageError: 0.003, Region: Ipswich, London: False, Error: 0.003, Next: -0.112, Change: -1
2019-11-04 13:13:48.5249 TotalError: 0.457, AverageError: 0.003, Region: Kettering, London: False, Error: 0.002, Next: -0.144, Change: -1
2019-11-04 13:13:49.1451 TotalError: 0.458, AverageError: 0.003, Region: Lewes, London: False, Error: 0.001, Next: -0.044, Change: -1
2019-11-04 13:13:50.2656 TotalError: 0.459, AverageError: 0.003, Region: Kingston upon Thames, London: True, Error: 0.001, Next: 0.031, Change: -1
2019-11-04 13:14:10.0595 TotalError: 0.461, AverageError: 0.003, Region: Leeds, London: False, Error: 0.002, Next: -0.149, Change: -1
2019-11-04 13:14:13.9231 TotalError: 0.462, AverageError: 0.003, Region: Liverpool, London: False, Error: 0.001, Next: -0.16, Change: -1
2019-11-04 13:14:14.1521 TotalError: 0.464, AverageError: 0.003, Region: Knowsley, London: False, Error: 0.001, Next: -0.242, Change: -1
2019-11-04 13:14:14.4308 TotalError: 0.468, AverageError: 0.003, Region: Forest Heath, London: False, Error: 0.005, Next: -0.099, Change: -1
2019-11-04 13:14:14.6573 TotalError: 0.47, AverageError: 0.003, Region: Hounslow, London: True, Error: 0.001, Next: 0.085, Change: -1
2019-11-04 13:14:15.0298 TotalError: 0.472, AverageError: 0.003, Region: Hinckley and Bosworth, London: False, Error: 0.002, Next: -0.156, Change: -1
2019-11-04 13:14:15.4164 TotalError: 0.476, AverageError: 0.003, Region: Merthyr Tydfil, London: False, Error: 0.004, Next: -0.223, Change: -1
2019-11-04 13:14:15.5234 TotalError: 0.478, AverageError: 0.003, Region: Islington, London: True, Error: 0.002, Next: 0.279, Change: -1
2019-11-04 13:14:16.6990 TotalError: 0.481, AverageError: 0.003, Region: Hertsmere, London: False, Error: 0.003, Next: 0.056, Change: -1
2019-11-04 13:14:18.8794 TotalError: 0.482, AverageError: 0.003, Region: Maldon, London: False, Error: 0.002, Next: -0.097, Change: -1
2019-11-04 13:14:19.0893 TotalError: 0.484, AverageError: 0.003, Region: Medway, London: False, Error: 0.002, Next: -0.062, Change: -1
2019-11-04 13:14:36.5854 TotalError: 0.486, AverageError: 0.003, Region: Leicester, London: False, Error: 0.002, Next: -0.072, Change: -1
2019-11-04 13:14:37.8688 TotalError: 0.487, AverageError: 0.003, Region: Luton, London: False, Error: 0.002, Next: -0.152, Change: -1
2019-11-04 13:14:38.5460 TotalError: 0.49, AverageError: 0.003, Region: Lambeth, London: True, Error: 0.002, Next: 0.242, Change: -1
2019-11-04 13:14:39.2494 TotalError: 0.494, AverageError: 0.003, Region: Gravesham, London: False, Error: 0.004, Next: -0.138, Change: -1
2019-11-04 13:14:39.9366 TotalError: 0.496, AverageError: 0.003, Region: Mid Sussex, London: False, Error: 0.003, Next: -0.043, Change: -1
