2019-10-29 13:10:17.2386 TotalError: 0.002, Region: Hambleton, London: False, Error: 0.002, Next: -0.055, Change: -1
2019-10-29 13:10:28.8819 TotalError: 0.002, Region: Hammersmith and Fulham, London: True, Error: 0.002, Next: -0.001, Change: -1
2019-10-29 13:10:41.7057 TotalError: 0.002, Region: Hampshire, London: False, Error: 0.001, Next: -0.145, Change: -1
2019-10-29 13:10:51.6643 TotalError: 0.002, Region: Harborough, London: False, Error: 0.001, Next: -0.058, Change: -1
2019-10-29 13:10:20.6699 TotalError: 0.002, Region: Haringey, London: True, Error: 0.001, Next: -0.082, Change: -1
2019-10-29 13:10:30.6853 TotalError: 0.002, Region: Harlow, London: False, Error: 0.002, Next: -0.078, Change: -1
2019-10-29 13:10:40.2639 TotalError: 0.002, Region: Harrogate, London: False, Error: 0.002, Next: -0.028, Change: -1
2019-10-29 13:10:49.7257 TotalError: 0.002, Region: Harrow, London: True, Error: 0.001, Next: -0.15, Change: -1
2019-10-29 13:10:23.7574 TotalError: 0.002, Region: Hart, London: False, Error: 0.002, Next: -0.095, Change: -1
2019-10-29 13:10:33.6814 TotalError: 0.002, Region: Hartlepool, London: False, Error: 0.002, Next: -0.03, Change: -1
2019-10-29 13:10:40.3737 TotalError: 0.002, Region: Hastings, London: False, Error: 0.004, Next: 0.005, Change: -1
2019-10-29 13:10:46.9129 TotalError: 0.002, Region: Havant, London: False, Error: 0.001, Next: -0.102, Change: -1
2019-10-29 13:10:28.8286 TotalError: 0.002, Region: Havering, London: True, Error: 0.002, Next: -0.278, Change: -1
2019-10-29 13:10:41.3382 TotalError: 0.002, Region: Herefordshire, London: False, Error: 0.001, Next: -0.044, Change: -1
2019-10-29 13:10:54.9579 TotalError: 0.002, Region: Hertfordshire, London: False, Error: 0.001, Next: -0.186, Change: -1
2019-10-29 13:11:04.9603 TotalError: 0.002, Region: Hertsmere, London: False, Error: 0.002, Next: -0.142, Change: -1
2019-10-29 13:10:27.8937 TotalError: 0.002, Region: High Peak, London: False, Error: 0.002, Next: -0.087, Change: -1
2019-10-29 13:13:36.7382 TotalError: 0.002, Region: Highland, London: False, Error: 0.001, Next: -0.062, Change: -1
2019-10-29 13:10:36.5712 TotalError: 0.002, Region: Hillingdon, London: True, Error: 0.002, Next: -0.149, Change: -1
2019-10-29 13:10:47.0021 TotalError: 0.002, Region: Hinckley and Bosworth, London: False, Error: 0.003, Next: -0.058, Change: -1
2019-10-29 13:10:53.7626 TotalError: 0.002, Region: Horsham, London: False, Error: 0.001, Next: -0.045, Change: -1
2019-10-29 13:10:34.1112 TotalError: 0.002, Region: Hounslow, London: True, Error: 0.002, Next: -0.089, Change: -1
2019-10-29 13:10:40.4582 TotalError: 0.002, Region: Huntingdonshire, London: False, Error: 0.001, Next: -0.094, Change: -1
2019-10-29 13:10:46.7252 TotalError: 0.002, Region: Hyndburn, London: False, Error: 0.003, Next: -0.063, Change: -1
2019-10-29 13:10:53.6264 TotalError: 0.002, Region: Inner London, London: False, Error: 0.001, Next: -0.024, Change: -1
2019-10-29 13:13:44.7607 TotalError: 0.002, Region: Inverclyde, London: False, Error: 0.002, Next: -0.092, Change: -1
2019-10-29 13:10:34.0619 TotalError: 0.002, Region: Ipswich, London: False, Error: 0.002, Next: -0.183, Change: -1
2019-10-29 13:10:40.3622 TotalError: 0.002, Region: Isle of Anglesey, London: False, Error: 0.002, Next: -0.102, Change: -1
2019-10-29 13:10:47.0083 TotalError: 0.002, Region: Isle of Wight, London: False, Error: 0.001, Next: -0.065, Change: -1
2019-10-29 13:10:53.3629 TotalError: 0.002, Region: Islington, London: True, Error: 0.003, Next: 0.047, Change: -1
2019-10-29 13:10:40.9936 TotalError: 0.002, Region: Kensington And Chelsea, London: False, Error: 0.003, Next: 0.048, Change: -1
2019-10-29 13:10:49.4596 TotalError: 0.002, Region: Kent, London: False, Error: 0.002, Next: -0.062, Change: -1
2019-10-29 13:10:56.3428 TotalError: 0.002, Region: Kettering, London: False, Error: 0.001, Next: -0.015, Change: -1
2019-10-29 13:11:02.8052 TotalError: 0.002, Region: King's Lynn and West Norfolk , London: False, Error: 0.001, Next: -0.051, Change: -1
2019-10-29 13:10:50.0623 TotalError: 0.002, Region: Kingston upon Thames, London: True, Error: 0.001, Next: -0.121, Change: -1
2019-10-29 13:11:01.4753 TotalError: 0.002, Region: Kirklees, London: False, Error: 0.001, Next: -0.107, Change: -1
2019-10-29 13:11:11.5711 TotalError: 0.002, Region: Knowsley, London: False, Error: 0.003, Next: -0.008, Change: -1
2019-10-29 13:11:22.6132 TotalError: 0.002, Region: Lambeth, London: True, Error: 0.002, Next: -0.015, Change: -1
2019-10-29 13:10:53.4217 TotalError: 0.002, Region: Lancashire, London: False, Error: 0.001, Next: -0.074, Change: -1
2019-10-29 13:10:59.3077 TotalError: 0.002, Region: Lancaster, London: False, Error: 0.002, Next: -0.041, Change: -1
2019-10-29 13:11:05.6169 TotalError: 0.002, Region: Leeds, London: False, Error: 0.002, Next: -0.001, Change: -1
2019-10-29 13:11:11.1850 TotalError: 0.002, Region: Leicester, London: False, Error: 0.001, Next: -0.038, Change: -1
2019-10-29 13:10:58.1062 TotalError: 0.002, Region: Leicestershire, London: False, Error: 0.001, Next: -0.078, Change: -1
2019-10-29 13:11:06.9801 TotalError: 0.002, Region: Lewes, London: False, Error: 0.001, Next: -0.189, Change: -1
2019-10-29 13:11:17.3398 TotalError: 0.002, Region: Lewisham, London: True, Error: 0.002, Next: -0.077, Change: -1
2019-10-29 13:11:27.2964 TotalError: 0.002, Region: Lichfield, London: False, Error: 0.002, Next: -0.074, Change: -1
2019-10-29 13:10:57.2757 TotalError: 0.002, Region: Lincoln, London: False, Error: 0.002, Next: -0.036, Change: -1
2019-10-29 13:11:05.3973 TotalError: 0.002, Region: Lincolnshire, London: False, Error: 0.001, Next: -0.066, Change: -1
2019-10-29 13:11:12.4690 TotalError: 0.002, Region: Liverpool, London: False, Error: 0.001, Next: -0.046, Change: -1
2019-10-29 13:08:19.3428 TotalError: 0.001, Region: London, London: False, Error: 0.001, Next: -0.074, Change: -1
2019-10-29 13:11:19.9188 TotalError: 0.002, Region: Luton, London: False, Error: 0.001, Next: -0.102, Change: -1
2019-10-29 13:11:00.8921 TotalError: 0.002, Region: Maidstone, London: False, Error: 0.001, Next: -0.055, Change: -1
2019-10-29 13:11:09.2037 TotalError: 0.002, Region: Maldon, London: False, Error: 0.002, Next: -0.042, Change: -1
2019-10-29 13:11:17.2957 TotalError: 0.002, Region: Malvern Hills, London: False, Error: 0.001, Next: -0.018, Change: -1
2019-10-29 13:11:26.7441 TotalError: 0.002, Region: Manchester, London: False, Error: 0.001, Next: -0.117, Change: -1
2019-10-29 13:11:00.2626 TotalError: 0.002, Region: Mansfield, London: False, Error: 0.002, Next: -0.002, Change: -1
2019-10-29 13:11:08.9282 TotalError: 0.002, Region: Medway, London: False, Error: 0.001, Next: -0.148, Change: -1
2019-10-29 13:11:16.7764 TotalError: 0.002, Region: Melton, London: False, Error: 0.002, Next: -0.041, Change: -1
2019-10-29 13:11:24.2745 TotalError: 0.002, Region: Mendip, London: False, Error: 0.002, Next: -0.011, Change: -1
2019-10-29 13:10:59.9056 TotalError: 0.002, Region: Merseyside, London: False, Error: 0.001, Next: -0.049, Change: -1
2019-10-29 13:11:06.2528 TotalError: 0.002, Region: Merthyr Tydfil, London: False, Error: 0.003, Next: -0.191, Change: -1
2019-10-29 13:11:12.8337 TotalError: 0.002, Region: Merton, London: True, Error: 0.002, Next: 0.003, Change: -1
2019-10-29 13:11:19.6855 TotalError: 0.002, Region: Mid Devon, London: False, Error: 0.004, Next: 0.008, Change: -1
2019-10-29 13:10:59.8804 TotalError: 0.002, Region: Mid Suffolk, London: False, Error: 0.001, Next: -0.083, Change: -1
2019-10-29 13:11:06.2224 TotalError: 0.002, Region: Mid Sussex, London: False, Error: 0.002, Next: -0.116, Change: -1
2019-10-29 13:11:12.7359 TotalError: 0.002, Region: Middlesbrough, London: False, Error: 0.002, Next: -0.029, Change: -1
2019-10-29 13:13:51.1928 TotalError: 0.002, Region: Midlothian, London: False, Error: 0.001, Next: -0.105, Change: -1
